n,height_bst,height_rt
104,13,14
88,13,19
102,13,14
116,17,13
122,11,13
142,12,15
142,15,15
142,16,12
168,13,18
156,13,17
248,18,14
202,19,19
234,16,14
222,15,15
230,16,16
332,21,20
346,17,17
372,17,19
312,16,18
344,17,18
510,21,19
494,18,19
508,20,18
496,17,20
534,17,24
810,23,20
750,20,22
764,19,26
780,22,22
800,24,20
1148,21,25
1144,24,24
1178,23,22
1178,24,24
1160,21,21
1754,24,27
1738,25,23
1786,23,25
1664,22,25
1716,22,24
2506,25,27
2486,24,24
2566,31,26
2554,28,26
2622,23,26
3856,24,27
3838,27,28
3802,25,27
3854,28,26
3786,24,24
